Algorithm,Accuracy,Training Time
Random Forest (Tuned),0.7866323907455013,N/A (pre-trained)
Random Forest (Base),0.7866323907455013,N/A (pre-trained)
Logistic Regression,0.7866323907455013,1.0773909091949463
SVM (RBF),0.7866323907455013,0.22142577171325684
K-Neighbors (K=5),0.7866323907455013,0.002202749252319336
Decision Tree,0.7866323907455013,0.03951740264892578
Gaussian Naive Bayes,0.7866323907455013,0.004689216613769531
